id,company_rank,employee_count,company,url,state,state_code,city,metro,growth_percent,revenue_usd,industry,years_on_inc5000
21287,711,22,Infosemantics,infosemantics,Texas,TX,"Flower Mound",Dallas,636.415,8556885,"IT Services",3
21133,712,1321,"FCi Federal",fci-federal,Virginia,VA,Ashburn,"Washington DC",636.3012,82174972,"Government Services",3
25404,713,44,"Cortello Salon",cortello-salon,Florida,FL,"Jacksonville Beach","Jacksonville FL",635.7843,3002000,"Consumer Products & Services",1
22966,714,77,Akvarr,akvarr,Virginia,VA,Fairfax,"Washington DC",635.6507,7966001,"IT Services",2
22963,715,12,"The Logistics Store",the-logistics-store,Missouri,MO,Liberty,"Kansas City MO-KS",635.6307,11314000,"Logistics & Transportation",2
25731,716,11,"Military Resale Solutions",military-resale-solutions,Virginia,VA,Chesapeake,"Virginia Beach-Norfolk-Newport News VA-NC",635.0951,11873410,"Government Services",1
23004,717,280,"Medical Staffing Options",medical-staffing-options,Ohio,OH,Westerville,"Columbus OH",633.1632,6436000,Health,2
21238,718,65,"FluidEdge Consulting",fluidedge-consulting,Pennsylvania,PA,Malvern,Philadelphia,632.0224,14015199,Health,3
26228,719,41,"Synergy Wireless Solutions",synergy-wireless-solutions,Virginia,VA,Herndon,"Washington DC",630.2941,4966000,Telecommunications,1
22921,720,389,"Pangea Properties",pangea-properties,Illinois,IL,Chicago,Chicago,629.4485,50310623,"Real Estate",2
23276,721,20,"Cradle Solution",cradle-solution,Texas,TX,Houston,Houston,629.1243,5167676,Software,2
23067,722,20,"Gravity Media",gravity-media,"New York",NY,"New York","New York City",628.9613,19106076,"Advertising & Marketing",2
21166,723,160,Janrain,janrain,Oregon,OR,Portland,"Portland OR",628.4916,9994679,Software,3
23758,724,50,ContextMedia,contextmedia,Illinois,IL,Chicago,Chicago,628.3347,15101896,Health,2
25760,725,181,rateGenius,rategenius,Texas,TX,Austin,Austin,628.3077,32262219,"Financial Services",1
21194,726,225,OnDeck,ondeck,"New York",NY,"New York","New York City",627.4912,65249287,"Financial Services",3
21025,727,37,"GarbageMan A Green Company",garbageman-a-green-company,Minnesota,MN,Plymouth,Minneapolis,627.3715,18042465,"Environmental Services",3
23261,728,12,"Transportation Impact",transportation-impact,"North Carolina",NC,"Emerald Isle","Morehead City NC",627.0258,7080133,"Logistics & Transportation",2
21030,729,69,"Dynamic Recycling",dynamic-recycling,Wisconsin,WI,"La Crosse","La Crosse WI-MN",626.046,22655060,Manufacturing,3
23161,730,5,"Odyssey Telecommunications",odyssey-telecommunications,"New York",NY,Colden,"Buffalo-Niagara Falls NY",626.0393,4141568,Telecommunications,2
26081,731,13,"Ruston Properties",ruston-properties,Louisiana,LA,"Baton Rouge","Baton Rouge LA",625.002,2764331,"Real Estate",1
26005,732,206,"TeleWorld Solutions",teleworld-solutions,Virginia,VA,Chantilly,Unknown,624.9398,18051000,Telecommunications,1
26132,733,26,"King Memory",king-memory,Ohio,OH,Columbus,"Columbus OH",623.7918,2386964,"Computer Hardware",1
26115,734,22,"Security America Mortgage",security-america-mortgage,Texas,TX,Houston,Houston,623.7707,2829654,"Financial Services",1
22939,735,48,"C-4 Analytics",c-4-analytics,Massachusetts,MA,Saugus,Boston,622.6595,7228351,"Advertising & Marketing",2
23347,736,351,Synowledge,synowledge,Connecticut,CT,Stamford,"Bridgeport-Stamford-Norwalk CT",622.0339,12780000,Health,2
23073,737,80,"Patient Engagement Advisors",patient-engagement-advisors,Alabama,AL,Birmingham,"Birmingham-Hoover AL",621.0949,3832670,Health,2
24894,738,12,"Body Armor Outlet",body-armor-outlet,"New Hampshire",NH,Salem,Boston,619.8047,2410806,"Government Services",1
